# Barnet recycling collection data from:
# http://www.ectrecycling.co.uk/page/421
# http://www.ectrecycling.co.uk/page/422
# http://www.ectrecycling.co.uk/page/423
# collected 4-Jul-2011
# Note: must contain the following title line:
street,postcode,type,days
Cecil Road,NW9 5EL,R,Monday
Cecil Road,N14 5RH,R,Wednesday
Cecilia Close,N2 0UT,R,Friday
Cedar Avenue,EN4 8DY,R,Wednesday
Cedar Drive,N2 0PS,R,Friday
Cedar Rise,N14 5NH,R,Wednesday
Cedar Lawn Avenue,EN5 2LN,R,Tuesday
Cedars Close,NW4 1TR,R,Friday
Cenacle Close,,R,Friday
Central Avenue,,R,Thursday
Central Square,NW11 7AG,R,Friday
Chadbury Court,,R,Thursday
CHALET ESTATE HAMMERS LANE,,R,Thursday
Chalfont Court,,R,Monday
Chalfont Court,NW9 6DY,R,Monday
Chalgrove Gardens,N3 3PH,R,Thursday
Chalton Drive,N2 0QW,R,Friday
Chamberlain Road,N2 8JS,R,Thursday
Chancellor Place,NW9 5JA,R,Monday
Chanctonbury Way,N12 7AA,R,Thursday
Chandos Avenue,N20 9DX,R,Tuesday
Chandos Road,N2 9AP,R,Thursday
Chantry Close,,R,Thursday
Chapel Court,N2 8DB,R,Thursday
Charnwood Place,N20 0PE,R,Wednesday
Chartridge Close,EN5 3LX,R,Tuesday
Chase Side,N14 5JA,R,Wednesday
Chase Way,N14 5DE,R,Wednesday
Chatham Close,NW11 6HE,R,Friday
Chatsworth Avenue,NW4 1HT,R,Monday
Chatsworth Close,NW4 1HX,R,Monday
Cheddar Close,N11 3GR,R,Wednesday
Cheldon Avenue, NW7,R,Friday
Chequers Close,NW9 5RJ,R,Monday
Cheriton Close,EN4 9TX,R,Tuesday
Cherry Hill,EN5 1AZ,R,Tuesday
Cherry Tree Road,N2 9QL,R,Thursday
Chessington Avenue,N3 3DP,R,Thursday
Chesterfield Road,N3 1PR,R,Thursday
Chesterfield Road,EN5 2RG,R,Tuesday
Chestnut Grove,EN4 8PU,R,Tuesday
Chestnut Lane,N20 8LN,R,Wednesday
Chetwynd Avenue,EN4 8NG,R,Wednesday
Cheviot Gardens,NW2 1PY,R,Friday
Cheviot Gate,NW2 1QG,R,Friday
Cheyne Walk,NW4 3QH,R,Friday
Chiddingfold,N12 7EX,R,Wednesday
Childs Way,NW11 6XU,R,Friday
Chiltern Gardens,NW2 1PU,R,Friday
Chilton Road,HA8 7NJ,R,Monday
Chislehurst Avenue,N12 0HU,R,Thursday
Christchurch Avenue,N12 0DG,R,Thursday
Christchurch Close,,R,Thursday
Christchurch Lane,EN5 4PL,R,Tuesday
Church Close,HA8 9NS,R,Monday
Church Close,N20 0JU,R,Wednesday
Church Crescent,N3 1BE,R,Thursday
Church Crescent,N20 0JP,R,Wednesday
Church End,NW4 4JT,R,Monday
Church Lane,N2 0TB,R,Thursday
Church Mount,N2 0RP,R,Friday
Church Path,(Section of),R,Wednesday
Church Road,NW4 4DP,R,Friday
Church Terrace,NW4 4JU,R,Monday
Church Walk,NW2 2TJ,R,Friday
Church Way,N20 0LA,R,Wednesday
Church Hill Road,EN4 8PG,R,Wednesday
Churchfield Avenue,N12 0NS,R,Thursday
Churchmead Close,EN4 8UY,R,Wednesday
Cissbury Ring North,N12 7AH,R,Thursday
Claigmar Gardens,N3 2HR,R,Thursday
Claire Court,,R,Wednesday
Clandon Gardens,N3 3BG,R,Friday
Clare Close,N2 0UY,R,Friday
Claremont Park,N3 1TG,R,Thursday
Claremont Road,NW2 1AB,R,Friday
Claremont Road,NW2 1AB,R,Friday
Clarence Court,,R,Thursday
Clarendon Gardens,NW4 4UU,R,Monday
Claverley Grove,N3 2DG,R,Thursday
Claverley Villas,N3 2DJ,R,Thursday
Claybrook Close,N2 8JG,R,Thursday
Cleveland Gardens,NW2 1DU,R,Friday
Clifford Road,EN5 5NY,R,Tuesday
Clifton Avenue,N3 1BN,R,Thursday
Clifton Gardens,NW11 7EL,R,Friday
Clifton Road,N3 2AR,R,Thursday
Clitterhouse Crescent,NW2 1DA,R,Friday
Clitterhouse Road,NW2 1DG,R,Friday
Cliveden Close,N12 8BE,R,Wednesday
Cloister Gardens,HA8 9QJ,R,Monday
Cloister Road,NW2 2NN,R,Friday
Clovelly Avenue,NW9 6DT,R,Monday
Colchester Road,HA8 0QU,R,Monday
Colebrook Close, NW7,R,Friday
Colenso Drive,NW7 2EA,R,Thursday
Coleridge Road,N12 8DG,R,Thursday
Coleridge Walk,NW11 6AT,R,Friday
Colin Close,NW9 6RT,R,Monday
Colin Crescent,NW9 6ET,R,Monday
Colin Drive,NW9 6ES,R,Monday
Colin Gardens,NW9 6EJ,R,Monday
Colin Park Road,NW9 6HS,R,Monday
Colindale Avenue,NW9 5DR,R,Monday
Colindeep Gardens,NW4 4RU,R,Monday
Colindeep Lane,NW4 4SG,R,Monday
Colney Hatch Lane,N11 3DB,R,Wednesday
Compton Close,NW11 8SX,R,Friday
Compton Close,,R,Monday
Coniston Close,N20 0QL,R,Wednesday
Connaught Avenue,EN4 8PJ,R,Wednesday
Connaught Drive,NW11 6BJ,R,Friday
Connaught Road,EN5 2PX,R,Tuesday
Constable Close,NW11 6TY,R,Friday
Cool Oak Lane,NW9 7BH,R,Monday
Cooms Walk,HA8 0AT,R,Monday
Copinger Walk,HA8 0AH,R,Monday
Coppetts Close,N12 0AG,R,Wednesday
Coppetts Road, N10,R,Wednesday
Coppice Walk,N20 8BZ,R,Wednesday
Coppies Grove,N11 1NT,R,Wednesday
Copthall Drive,NW7 2ND,R,Thursday
Copthall Gardens,NW7 2NG,R,Thursday
Copwood Close,N12 9PR,R,Wednesday
Corefield Close,,R,Wednesday
Corner Mead,NW9 5RD,R,Monday
Cornwall Avenue,N3 1LD,R,Thursday
Cornwood Close,N2 0HP,R,Friday
Corringham Road,NW11 7BS,R,Friday
Corringway,NW11 7ED,R,Friday
Cotman Close,NW11 6PT,R,Friday
Cotswold Gardens,NW2 1PE,R,Friday
Cotswold Gate,NW2 1QS,R,Friday
Cotswold Close,,R,Wednesday
County Gate,EN5 1EH,R,Tuesday
Court Way,NW9 6JE,R,Monday
Court House Gardens,N3 1PU,R,Thursday
Courthouse Road,N12 7PJ,R,Thursday
Courtland Avenue,NW7 3BG,R,Monday
Courtleigh Gardens,NW11 9JX,R,Friday
Coverdale Road,N11 3FF,R,Wednesday
Cowper Road,N14 5RP,R,Wednesday
Cranbourne Gardens,NW11 0HN,R,Friday
Cranbrook Road,EN4 8UN,R,Wednesday
Cranfield Drive,NW9 5WH,R,Monday
Cranmer Road,HA8 8UA,R,Monday
Creighton Avenue,N2 9BD,R,Thursday
Crescent Rise,EN4 9RR,R,Tuesday
Crescent Road,N3 1HP,R,Thursday
Crescent Road,EN4 8SB,R,Tuesday
Crescent Road,N11 3LA,R,Wednesday
Crescent Way,N12 0QX,R,Thursday
Crespigny Road,NW4 3DT,R,Monday
Cressingham Road,HA8 0RH,R,Monday
Creswick Walk,NW11 6AN,R,Friday
Crewys Road,NW2 2AA,R,Friday
Cricklewood Lane,NW2 2PU,R,Friday
Cricklewood Lane,NW2 1ES,R,Friday
Crispin Road,HA8 9EN,R,Monday
Crocus Fields,EN5 2UA,R,Tuesday
Croft Close,NW7 4QL,R,Monday
Croft Mews,N12 8TR,R,Wednesday
Cromarty Road,HA8 8ES,R,Monday
Cromer Road,EN5 5HT,R,Tuesday
Cromwell Close,N2 0LL,R,Friday
Cromwell Road,N3 2ET,R,Thursday
Cromwell Road,N10 2PD,R,Wednesday
Crooked Usage,N3 3EU,R,Thursday
Crossway,NW9 6EN,R,Monday
Crossway,N12 0QT,R,Thursday
Crown Close,NW7 4HN,R,Monday
Crown Lane,N14 5EP,R,Wednesday
Crown Road,N10 2HY,R,Wednesday
Cumberland Gardens,,R,Thursday
Cumbrian Gardens,NW2 1EB,R,Friday
Cyprus Avenue,N3 1SR,R,Thursday
Cyprus Gardens,N3 1SP,R,Thursday
Cyprus Road,N3 3RT,R,Thursday
Dale Close,EN5 1BH,R,Tuesday
Dale Grove,N12 8EA,R,Thursday
Dale Green Road,N11 1DL,R,Wednesday
Dallas Road,NW4 3JB,R,Monday
Dalmeny Road,EN5 1DE,R,Tuesday
Daneland,EN4 8PX,R,Tuesday
Danescroft Avenue,NW4 2NB,R,Friday
Danescroft Gardens,NW4 2ND,R,Friday
Daniel Place,NW4 3PG,R,Monday
Darcy Close,N20 0LF,R,Wednesday
Darlands Drive,,R,Tuesday
Dartmouth Road,NW4 3HU,R,Monday
Darwin Close,N11 1TA,R,Wednesday
Daws Lane,NW7 4SD,R,Thursday
Deacons Rise,,R,Friday
Deans Close,HA8 9HR,R,Monday
Deans Drive,HA8 9NU,R,Monday
Deans Lane,HA8 9HP,R,Monday
Deans Way,HA8 9NQ,R,Monday
Deansbrook Road,HA8 9BE,R,Monday
Deansway,N2 0HX,R,Friday
Decoy Avenue,NW11 0ES,R,Friday
Deepdale Close,N11 3FH,R,Wednesday
Dehar Crescent,NW9 7BD,R,Monday
Delamere Gardens,NW7 3EA,R,Monday
Dellors Close,EN5 2SU,R,Tuesday
Dene Road,N11 1ES,R,Wednesday
Dene Walk,,R,Monday
Denehurst Gardens,NW4 3QS,R,Friday
Denewood,EN5 1LX,R,Tuesday
Denham Road,N20 0DN,R,Wednesday
Denison Close,N2 0JU,R,Friday
Denman Drive,NW11 6RE,R,Friday
Denman Drive North,NW11 6RB,R,Friday
Denman Drive South,NW11 6RH,R,Friday
Dennison Place,,R,Friday
Denton Close,EN5 3AP,R,Tuesday
Deodora Close,N20 0DQ,R,Wednesday
Derby Avenue,N12 8DD,R,Thursday
Dersingham Road,NW2 1SL,R,Friday
Derwent Avenue,NW7 3DY,R,Monday
Derwent Avenue,EN4 8LU,R,Wednesday
Derwent Crescent,N20 0QH,R,Wednesday
Derwent Rise,NW9 7HX,R,Monday
Devon Rise,N2 0AA,R,Friday
Devonshire Crescent,NW7 1DN,R,Thursday
Devonshire Place,NW2 2HX,R,Friday
Devonshire Road,NW7 1DJ,R,Thursday
Dexter Road,EN5 2AU,R,Tuesday
Dianne Way,EN4 9RY,R,Tuesday
Dickens Avenue,N3 2AL,R,Thursday
Dingle Close,EN5 3EL,R,Tuesday
Dingwall Gardens,NW11 7ET,R,Friday
Dinsdale Gardens,EN5 1HE,R,Tuesday
Dishforth Lane,NW9 5WG,R,Monday
Doggett Court, EN4,R,Tuesday
Dollis Avenue,N3 1BU,R,Thursday
Dollis Park,N3 1BP,R,Thursday
Dollis Road,N3 1RB,R,Thursday
Dollis Brook Walk,EN5 2PU,R,Tuesday
Dolman Close,N3 2EX,R,Thursday
Domville Close,N20 0LE,R,Wednesday
Dorchester Gardens,NW11 6BN,R,Friday
Dormer Close,EN5 2QW,R,Tuesday
Dorset Mews,N3 2BN,R,Thursday
Douglas Mews,NW2 1JF,R,Friday
Dover Close,NW2 1AQ,R,Friday
Downage,NW4 1AA,R,Monday
Downhurst Avenue,NW7 3QA,R,Monday
Downway,,R,Thursday
Drapers Cottages,,R,Thursday
Dryfield Road,HA8 9JN,R,Monday
Duchess Close,N11 3PZ,R,Wednesday
Dudley Road,N3 2QR,R,Thursday
Dukes Avenue,N3 2DD,R,Thursday
Dunblane Close,HA8 8RQ,R,Monday
Duncan Close,EN5 5JJ,R,Tuesday
Dunstan Close,N2 0UX,R,Friday
Dunstan Road,NW11 8AA,R,Friday
Dunster Close,EN5 2TE,R,Tuesday
Durham Road,N2 9DN,R,Thursday
Dury Road,EN5 5PU,R,Tuesday
Eagans Close,,R,Thursday
Eagle Drive,NW9 5AG,R,Monday
Earl Close,N11 3PY,R,Wednesday
East Crescent,N11 3AY,R,Wednesday
East Road,HA8 0AJ,R,Monday
East View,EN5 5TL,R,Tuesday
East Walk,EN4 8JT,R,Wednesday
East Barnet Road,EN4 8QP,R,Tuesday
East End Road,N2 0LY,R,Friday
East End Road,N2 0EY,R,Friday
East End Road,N3 2SU,R,Thursday
Eastham Close,EN5 2XA,R,Tuesday
Eastholm,NW11 6LR,R,Friday
Eastside Road,NW11 0AY,R,Friday
Eastville Avenue,NW11 0HD,R,Friday
Eccleston Close,EN4 9EZ,R,Tuesday
Eden Close,,R,Friday
Edge Hill Avenue,N3 3AY,R,Friday
Edgeworth Avenue,NW4 4EX,R,Monday
Edgeworth Close,NW4 4HN,R,Monday
Edgeworth Crescent,NW4 4HG,R,Monday
Edgeworth Road,,R,Tuesday
Edgware Way,HA8 8DF,R,Monday
Edgware Road,(ColindeepLane-KingsburyRo ad),R,Monday
Edgwarebury Gardens,HA8 8LL,R,Monday
Edgwarebury Lane,HA8 8QJ,R,Monday
Edgwarebury Lane,HA8 8LH,R,Monday
Edmunds Walk,N2 0HU,R,Friday
Edrick Road,HA8 9HY,R,Monday
Edward Grove,EN4 8BA,R,Tuesday
